kode,nama_bahan,air,energi,protein,lemak,kh,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,gula,kategori,sumber
CM036,"Kacang urei, kering",12.8,354.0,12.8,1.8,69.3,26.1,3.3,220.0,220.0,5.1,1.0,0.0,0.7,3.1,,,,0.55,0.05,3.5,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM037,"Kenari banda, kering",13.0,616.0,13.9,56.2,13.7,,3.2,0.0,380.0,1.4,11.0,460.0,1.1,3.2,,90.0,,0.83,0.08,0.5,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM038,"Kenari, kering",3.0,657.0,15.0,66.0,13.0,,3.0,92.0,691.0,7.7,3.0,505.8,0.97,3.0,0.0,,,0.42,0.09,0.5,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM039,"Komak polong, segar",74.3,99.0,3.3,0.1,21.2,10.3,1.1,50.0,99.0,13.1,15.0,567.0,0.2,0.6,,5.0,,0.13,0.03,0.2,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM040,"Koro andong, kering",10.8,356.0,20.5,4.1,61.6,7.0,3.0,150.0,272.0,6.2,18.0,301.8,0.73,2.8,,0.0,,0.29,0.02,1.4,1.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM041,"Koro benguk, biji,
kering",15.0,332.0,24.0,3.0,55.0,5.6,3.0,30.0,200.0,2.0,42.0,389.2,1.25,8.7,,0.0,70.0,0.3,0.12,1.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM042,"Koro kerupuk, biji,
segar",67.2,125.0,8.3,0.7,22.1,2.2,1.7,17.0,12.0,2.7,16.0,150.3,0.48,3.4,,0.0,80.0,0.11,0.04,1.1,31.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM043,"Koro loke, biji, segar",88.6,33.0,2.7,0.2,7.9,3.5,0.6,60.0,40.0,2.0,2.0,38.6,0.09,0.4,,0.0,40.0,0.1,0.0,0.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM044,"Koro roay, kering",13.0,344.0,12.5,2.1,69.4,7.5,3.0,70.0,103.0,4.4,18.0,294.3,0.72,2.7,,0.0,28.0,0.11,0.21,1.4,1.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM045,"Koro wedus, biji,
kering",11.8,338.0,22.2,1.5,61.0,5.8,3.5,88.0,395.0,3.5,43.0,403.8,1.3,9.1,0.0,0.0,,0.62,0.12,1.8,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM046,"Lamtoro biji, muda,
segar",77.4,85.0,5.7,0.3,15.4,10.8,1.2,180.0,53.0,2.7,35.0,485.7,0.02,1.4,,0.0,423.0,0.08,1.15,1.0,15.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM047,"Lamtoro biji, tua,
segar",61.4,148.0,10.6,0.5,26.2,17.0,1.3,155.0,59.0,2.2,28.0,628.5,0.03,2.4,,,416.0,0.23,0.49,2.8,20.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM048,"Lamtoro var, gung
tanpa kulit",10.2,367.0,46.4,5.4,32.5,2.6,4.4,136.0,441.0,23.3,65.0,1462.3,0.07,5.6,,,18900.0,0.06,1.15,1.0,9.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM049,"Lamtoro var, lokal
dengan kulit",13.5,336.0,23.8,1.2,59.7,15.4,1.8,867.0,321.0,1.5,134.0,1858.9,0.07,5.4,,,321.0,0.15,1.34,0.9,16.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM050,"Nangka, biji, segar",57.7,165.0,4.2,0.1,36.7,1.8,1.3,33.0,200.0,1.0,69.0,179.0,0.12,0.2,0.0,0.0,,0.2,0.03,1.4,10.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM051,"Saga merah terkupas,
mentah",8.1,449.0,30.6,25.5,31.9,3.5,3.9,1062.0,161.0,14.2,66.0,1496.5,0.07,5.7,,,107.0,0.09,1.5,10.9,7.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CM052,"Wijen, mentah",5.8,568.0,19.3,51.1,18.1,3.6,5.8,1125.0,614.0,9.5,18.0,303.7,4.16,7.9,,15.0,,0.93,0.2,5.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO001,"Kacang belimbing,
rebus",55.6,204.0,16.9,8.8,17.5,4.8,1.2,230.0,180.0,3.3,43.0,1098.0,3.24,2.3,,,,0.2,0.48,0.7,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO002,"Kacang bogor, goreng",3.0,479.0,12.7,23.2,58.9,1.2,2.2,135.0,184.0,2.9,,,,,,,,0.25,0.45,4.1,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO003,"Kacang bogor, rebus",61.2,161.0,7.7,2.8,27.1,2.0,1.2,56.0,134.0,1.4,,,,,,,,0.1,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO004,"Kacang gude, rebus",61.5,147.0,9.0,0.5,27.5,3.4,1.5,50.0,175.0,2.0,14.0,1126.0,0.8,2.7,,12.0,,0.1,0.07,13.2,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO005,"kacang hijau, rebus",71.3,109.0,8.7,0.5,18.3,1.5,1.2,95.0,149.0,1.5,447.0,657.8,1.4,2.8,,18.0,120.0,0.12,0.04,0.4,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO006,"Kacang kedelai,
goreng",9.6,521.0,32.2,37.7,22.9,7.6,3.7,296.0,800.0,6.5,3492.0,,26.3,60.0,,,20.0,0.4,1.9,19.0,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
