KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
GM072,"Keong, segar",81.0,64,12.0,1.0,2.0,0.0,4.0,217,78,1.7,231,,0.37,0.1,0,244,,,,,,0
GM073,"Kepiting, segar",68.1,151,13.8,3.8,14.1,0.0,0.2,210,250,1.1,,,,,61,,,0.05,,,0,0
GM074,"Kerang, segar",78.2,101,14.4,2.6,3.9,0.0,0.9,321,270,15.6,,,,,0,,0.0,0.01,,,0,0
GM075,"Kodok, segar",81.9,73,16.4,0.3,0.0,0.0,1.4,18,147,1.1,,,,,0,,,0.14,,,0,0
GM076,"Kura-kura, segar",80.0,83,19.1,0.2,0.0,0.0,0.7,27,87,0.7,,,,,0,,,0.20,,,0,0
GM077,"Kuro, segar",79.9,87,16.0,2.2,1.0,0.0,0.9,75,136,1.0,,,,,6,,0.0,0.04,,,0,0
GM078,"Lokan, segar",80.9,217,11.0,1.7,5.1,,1.3,20,390,10.9,3,7.0,0.20,2.7,,,,0.45,0.07,,,0
GM079,"Rajungan, segar",80.2,76,12.1,2.0,2.4,0.0,2.7,721,214,2.2,69,192.0,1.70,2.9,599,40,,0.20,0.25,0.2,,0
GM080,"Rebon, udang kecil,
segar",79.0,81,16.2,1.2,0.7,0.0,2.9,757,292,2.2,169,202.9,0.70,1.2,18,0,,0.04,0.10,2.4,0,0
GM081,Rusip,58.5,110,11.5,2.0,11.7,0.0,16.3,479,348,7.1,,,,,0,,0.0,0.04,,,0,0
GM082,"Udang galah, segar",79.0,81,16.5,0.3,3.0,0.0,1.2,87,167,0.7,95,132.0,0.70,1.2,,3,,0.24,0.03,2.9,,0
GM083,"Udang, besar, segar",85.5,56,11.4,0.6,1.2,0.0,1.3,30,20,0.3,190,210.0,0.40,0.8,,0,,0.14,0.00,0.1,,0
GM084,"Udang, segar",75.0,91,21.0,0.2,0.1,0.0,3.7,136,170,8.0,178,222.4,0.30,1.3,18,4,,0.01,0.40,3.7,0,0
GO001,"Bekicot, dendeng,
mentah",6.7,441,48.7,20.3,15.8,0.0,8.4,692,523,16.6,,,,,6,,1408.0,0.56,,,69,0
GO002,"Belut, goreng",11.2,417,25.9,19.4,32.0,0.0,11.5,840,872,4.9,71,217.7,0.30,1.8,0,,0.0,0.00,0.20,10.5,0,0
GO003,"Cumi-cumi, goreng",54.2,265,40.6,10.1,0.0,0.0,3.1,62,270,2.7,86,81.9,,,0,56,0.0,0.09,0.00,6.3,0,0
GO004,"Ikan asin, kering",40.0,193,42.0,1.5,0.0,0.0,16.5,200,300,0.0,,,,,,,,0.01,,,0,0
GO005,"Ikan bandeng presto,
masakan",45.3,296,17.1,20.3,11.3,0.0,6.0,1422,659,1.9,,,,,6,0,400.0,0.14,,,69,0
GO006,Ikan baung bakar,69.8,144,17.8,5.8,5.2,,1.4,18,169,0.0,168,236.0,0.10,0.7,,,,0.00,0.00,1.3,,0
